,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,ATT,QZ1,QZ2,QZ3,QZ4,EX1,EX2,Test1,Test2,Lab,Homework,Quiz,Overall,Grade
65,91.5,97,87.5,80,90,82,90,90,98,12,58.33333333,72.22222222,55,75,51.2,39.15,64,43.5,100,89.3125,67.40740741,66.93236111,C-
66,80,95,90,80,97.5,94,73,90,85,12,58.33333333,66.66666667,57.5,100,64.8,64.35,81,71.5,100,88.0625,74.72222222,76.67458333,C
67,92.5,95,100,100,95,98,70,100,100,12,91.66666667,61.11111111,60,90,66.4,73.35,83,81.5,100,94.75,70.37037037,80.59805556,B-
68,92.5,100,100,90,100,93,89,80,60,12,83.33333333,77.77777778,55,80,65.6,63.9,82,71,100,89,70.92592593,76.43388889,C
69,80,77.5,70,65,100,97,100,75,85,12,58.33333333,55.55555556,25,40,56.8,34.2,71,38,100,83.6875,40.18518519,61.04402778,C-
70,80,0,92.5,90,90,79,0,70,51.5,12,91.66666667,88.88888889,0,100,75.2,68.85,94,76.5,100,59.125,62.96296296,69.43444444,C-
71,0,10,47.5,0,90,0,56,40,75,7,54.16666667,27.77777778,30,80,43.2,31.5,54,35,58.33333333,39.8125,45.92592593,41.18097222,F
72,85,85,92.5,60,95,98,100,80,100,12,91.66666667,50,75,95,47.2,57.6,59,64,100,88.8125,73.33333333,71.48375,C
73,70,89,70,80,85,96,0,90,0,11,75,44.44444444,65,0,64,54.9,80,61,91.66666667,63.75,36.48148148,60.28888889,C-
74,85,97.5,100,85,75,97,97,95,85,12,25,44.44444444,35,65,48.8,36.45,61,40.5,100,91.4375,48.14814815,63.52597222,C-
75,94.5,100,85,100,100,98,90,100,96,12,75,61.11111111,80,80,78.4,72,98,80,100,96.125,73.7037037,83.57305556,B
76,62.5,65,32.5,27.5,0,79,79,75,94,12,91.66666667,33.33333333,25,55,44,54.9,55,61,100,56.5,37.77777778,55.14166667,D
77,85,70,85,95,100,88,88,100,85,12,75,100,90,100,47.2,65.7,59,73,100,88.875,96.66666667,77.0275,C
78,92.5,100,100,100,100,100,100,95,100,12,91.66666667,88.88888889,80,80,59.2,71.1,74,79,100,99.375,82.96296296,81.87194444,B-
79,92.5,100,100,100,95,90,100,95,85,12,100,88.88888889,80,80,76,74.25,95,82.5,100,95.625,82.96296296,84.89444444,B
80,80,75,90,90,100,93,98,90,85,12,91.66666667,88.88888889,75,100,69.6,76.5,87,85,100,90.125,87.96296296,83.27694444,B
81,92.5,82.5,87.5,90,100,82,82,0,85,9,50,44.44444444,0,25,45.6,52.2,57,58,75,76.125,23.14814815,55.97972222,D
82,76,80,100,95,90,93,89,87.5,80,12,100,66.66666667,70,85,55.2,66.6,69,74,100,89.3125,73.88888889,75.56708333,C
83,82.5,85,92.5,95,90,100,100,100,80,12,66.66666667,55.55555556,85,0,62.4,47.25,78,52.5,100,92.8125,46.85185185,69.16402778,C-
84,77.5,62.5,97.5,80,0,83,100,75,70,11,66.66666667,44.44444444,70,80,67.2,69.3,84,77,91.66666667,71,64.81481481,70.95388889,C
85,77.5,100,100,100,100,99,92,100,98,12,91.66666667,100,90,100,76,85.5,95,95,100,98.625,96.66666667,90.6625,A
86,87.5,85,92.5,80,100,99,0,100,75,12,100,100,60,100,75.2,70.2,94,78,100,78.9375,86.66666667,79.27125,C+
87,67.5,95,82.5,95,60,79,89,100,85,12,83.33333333,83.33333333,67.5,95,76.8,81.9,96,91,100,85.6875,81.94444444,83.83291667,B
88,30,0,0,100,85,91,77,85,85,12,25,55.55555556,25,30,38.4,38.7,48,43,100,65.375,36.85185185,52.49527778,D
89,92.5,100,100,0,100,100,0,100,100,12,91.66666667,100,100,100,64,78.3,80,87,100,75,100,79.875,B-
90,82.5,0,95,100,95,99,100,100,100,9,75,72.22222222,80,95,70.4,75.6,88,84,75,86.125,82.40740741,78.67861111,C+
91,77.5,97.5,100,70,0,96,100,80,75,12,66.66666667,11.11111111,45,75,48.8,49.5,61,55,100,77.3125,43.7037037,61.88430556,C-
92,80,75,0,67.5,77.5,87,100,82.5,90,11,83.33333333,83.33333333,90,90,57.6,72.9,72,81,91.66666667,72.4375,87.77777778,73.80958333,C
93,0,85,80,75,100,78,0,90,0,12,91.66666667,38.88888889,75,0,58.4,37.35,73,41.5,100,63.5,37.96296296,55.76194444,D
94,87.5,85,92.5,85,95,91,92,90,90,12,91.66666667,50,0,85,64,65.7,80,73,100,90.0625,45,72.99375,C
95,73.5,0,92.5,90,80,0,100,100,75,12,83.33333333,72.22222222,65,95,70.4,65.7,88,73,100,67.1875,77.40740741,72.27236111,C
96,79,95,92.5,65,72.5,91,100,0,76,11,33.33333333,77.77777778,95,95,59.2,75.6,74,84,91.66666667,74,89.25925926,75.49555556,C
97,0,0,0,42.5,0,0,0,0,0,10,58.33333333,0,0,0,42.4,35.55,53,39.5,83.33333333,5.3125,0,27.29458333,F
98,100,97.5,100,90,100,99,100,100,100,12,100,77.77777778,90,95,69.6,84.6,87,94,100,98.3125,87.59259259,87.70263889,B+
99,92.5,95,100,0,100,93,90,85,100,12,83.33333333,100,70,80,65.6,80.55,82,89.5,100,82.875,83.33333333,80.62,B-
100,96,97.5,100,0,100,89,97,100,99,12,100,66.66666667,80,95,73.6,78.3,92,87,100,85.3125,80.55555556,81.97208333,B-
101,45,77.5,67.5,70,90,71,89,90,85,12,33.33333333,72.22222222,47.5,70,57.6,63.9,72,71,100,80,63.24074074,70.98111111,C
102,0,85,85,67.5,90,88,96,75,95,12,58.33333333,66.66666667,50,0,48.8,40.95,61,45.5,100,85.1875,38.88888889,61.38708333,C-
103,85,92.5,100,100,95,90,100,97.5,100,12,100,77.77777778,75,60,62.4,61.2,78,68,100,96.875,70.92592593,77.48138889,C
104,82.5,70,100,65,97,71,78,85,85,11,75,38.88888889,55,80,70.4,55.8,88,62,91.66666667,81.375,57.96296296,70.30361111,C
105,92.5,92.5,100,80,95,97,97,95,80,12,83.33333333,55.55555556,75,90,57.6,54.9,72,61,100,92.0625,73.51851852,73.89152778,C
106,55,85,100,100,60,100,80,90,90,12,91.66666667,77.77777778,85,100,71.2,76.5,89,85,100,88.125,87.59259259,82.94138889,B
107,92.5,77.5,92.5,100,100,96,89,97.5,99,12,83.33333333,72.22222222,80,100,58.4,71.55,73,79.5,100,93.9375,84.07407407,80.35986111,B-
108,62.5,97.5,82.5,67.5,90,98,100,80,100,12,75,72.22222222,57.5,75,55.2,50.4,69,56,100,89.4375,68.24074074,70.70736111,C
109,100,100,92.5,100,100,0,94,85,0,10,41.66666667,83.33333333,70,0,71.2,75.6,89,84,83.33333333,71.4375,51.11111111,70.57125,C
110,87.5,92.5,100,90,87,96,94,95,70,12,95.83333333,83.33333333,70,15,64.8,42.3,81,47,100,90.5625,56.11111111,69.12041667,C-
111,92.5,100,100,100,100,99,100,100,97,12,100,100,100,100,64.8,88.2,81,98,100,99.5,100,89.86,A-
112,95,96,100,100,100,97,30,95,98,12,91.66666667,44.44444444,80,95,44,63.9,55,71,100,89.5,73.14814815,72.59722222,C
113,77.5,95,97.5,80,100,94,99,100,85,12,83.33333333,88.88888889,60,100,60.8,72.9,76,81,100,93.8125,82.96296296,80.97319444,B-
114,88.5,97,100,90,100,99,97,100,85,12,66.66666667,88.88888889,95,65,57.6,72.9,72,81,100,96,82.96296296,80.98944444,B-
